iter	Passed	Remaining
0	2	2923
1	5	2983
2	8	2787
3	10	2714
4	13	2697
5	16	2736
6	18	2651
7	20	2586
8	23	2598
9	26	2589
10	29	2618
11	31	2620
12	34	2640
13	37	2636
14	40	2672
15	43	2684
16	45	2638
17	48	2634
18	51	2649
19	53	2627
20	56	2622
21	58	2616
22	61	2606
23	63	2588
24	66	2577
25	68	2584
26	71	2576
27	73	2555
28	75	2539
29	78	2529
30	80	2517
31	83	2513
32	86	2521
33	88	2505
34	90	2488
35	92	2487
36	95	2477
37	97	2477
38	100	2476
39	102	2466
40	105	2456
41	107	2458
42	110	2456
43	113	2465
44	116	2462
45	118	2447
46	120	2436
47	123	2441
48	125	2439
49	128	2439
50	131	2440
51	133	2440
52	136	2438
53	138	2433
54	141	2435
55	144	2437
56	146	2428
57	149	2420
58	151	2416
59	153	2408
60	156	2403
61	158	2395
62	160	2386
63	162	2381
64	165	2375
65	167	2369
66	169	2362
67	172	2358
68	174	2353
69	177	2354
70	179	2351
71	181	2345
72	184	2340
73	189	2366
74	197	2432
75	200	2437
76	202	2432
77	205	2431
78	208	2435
79	211	2437
80	214	2438
81	219	2455
82	222	2454
83	224	2452
84	227	2451
85	230	2450
86	233	2446
87	235	2440
88	238	2439
89	240	2433
90	243	2428
91	245	2421
92	247	2412
93	249	2406
94	252	2401
95	254	2393
96	256	2387
97	258	2381
98	260	2373
99	263	2367
100	265	2364
101	268	2359
102	270	2356
103	272	2349
104	275	2345
105	277	2339
106	279	2334
107	282	2330
108	284	2325
109	286	2319
110	288	2312
111	291	2307
112	293	2300
113	295	2294
114	297	2287
115	299	2280
116	301	2275
117	303	2269
118	305	2264
119	307	2258
120	309	2246
121	311	2241
122	313	2236
123	316	2233
124	318	2231
125	320	2225
126	323	2222
127	325	2217
128	327	2213
129	330	2209
130	332	2207
131	335	2203
132	337	2197
133	339	2195
134	341	2190
135	344	2185
136	346	2179
137	347	2173
138	350	2168
139	352	2163
140	354	2158
141	356	2152
142	358	2149
143	360	2145
144	363	2142
145	365	2138
146	367	2132
147	369	2127
148	371	2121
149	373	2118
150	375	2113
151	378	2110
152	380	2107
153	383	2104
154	385	2099
155	387	2096
156	389	2093
157	392	2089
158	394	2088
159	396	2083
160	399	2079
161	401	2076
162	403	2071
163	406	2070
164	409	2070
165	411	2068
166	414	2065
167	416	2062
168	419	2061
169	421	2056
170	423	2055
171	426	2051
172	428	2046
173	430	2044
174	432	2040
175	434	2035
176	436	2031
177	439	2029
178	441	2027
179	444	2024
180	447	2025
181	449	2021
182	452	2018
183	454	2015
184	456	2012
185	458	2007
186	460	2002
187	463	2001
188	465	1997
189	467	1994
190	470	1991
191	472	1987
192	474	1984
193	476	1980
